,Australia,United States,Hawaii,France,Brazil,South Africa,Portugal,Ireland,Spain,New Zealand,Japan,Italy
2010-01-01,16,8,4,2,2,2,1.0,0.0,0.0,0.0,0.0,0.0
2011-01-01,14,7,3,2,6,2,1.0,0.0,0.0,0.0,0.0,0.0
2012-01-01,13,7,3,2,7,2,1.0,0.0,0.0,0.0,0.0,0.0
2013-01-01,12,7,4,2,7,2,0.0,1.0,0.0,0.0,0.0,0.0
2014-01-01,13,5,3,2,7,2,1.0,1.0,1.0,0.0,0.0,0.0
2015-01-01,12,5,5,2,8,1,0.0,1.0,0.0,1.0,0.0,0.0
2016-01-01,13,4,4,2,10,1,0.0,0.0,0.0,0.0,1.0,0.0
2017-01-01,12,4,3,3,9,1,1.0,0.0,0.0,0.0,1.0,1.0
2018-01-01,10,5,3,3,10,2,1.0,0.0,0.0,0.0,1.0,0.0
2019-01-01,7,4,4,3,12,1,1.0,0.0,0.0,1.0,1.0,1.0
2020-01-01,11,4,2,2,11,2,1.0,0.0,0.0,0.0,1.0,1.0
